epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2252.11,1.64079,3.14713,1.89016,1.82778,0.39683,0.31197,0.26982,0.12223,0.37326,0.23386,0.18486,0.06257,1.99036,5.70332,3.02532,2.26851,0.0668931,0.000166366,0.000166366
2,2449.28,1.61297,2.9551,1.75956,1.79534,0.4189,0.32167,0.28094,0.11956,0.41049,0.30496,0.26266,0.10176,2.03435,2.58718,2.49865,2.32506,0.0337253,0.000331934,0.000331934
3,2644.31,1.61285,2.93949,1.75413,1.80719,0.62103,0.48924,0.53579,0.23561,0.59902,0.47334,0.50843,0.21946,1.86371,2.23615,1.75527,2.11916,0.000556462,0.000496402,0.000496402
4,2838.61,1.56619,2.84847,1.66114,1.76355,0.55111,0.44434,0.47421,0.19017,0.5399,0.4406,0.45959,0.17846,1.98873,2.41719,1.84271,2.16953,0.00049505,0.00049505,0.00049505
5,3194.09,1.52327,2.78808,1.59161,1.73327,0.59751,0.52432,0.54807,0.26358,0.57664,0.50421,0.51108,0.2245,1.80294,2.39138,1.63993,2.03668,0.0004934,0.0004934,0.0004934
6,3387.84,1.49348,2.72447,1.519,1.70704,0.66141,0.4742,0.55368,0.25585,0.65238,0.46866,0.53478,0.24586,1.84017,2.39233,1.57301,2.04528,0.00049175,0.00049175,0.00049175
7,3581.97,1.46289,2.68898,1.49591,1.68795,0.64832,0.56361,0.60667,0.30169,0.63795,0.54864,0.58498,0.26708,1.70974,2.25801,1.46084,1.9427,0.0004901,0.0004901,0.0004901
8,3776.13,1.4421,2.65607,1.45443,1.67158,0.65768,0.47802,0.57243,0.28848,0.64653,0.48924,0.57258,0.26938,1.73918,2.19612,1.48837,1.95142,0.00048845,0.00048845,0.00048845
9,3969.85,1.42278,2.61129,1.43604,1.66223,0.6796,0.55753,0.60262,0.30697,0.65748,0.53601,0.57919,0.27388,1.7187,2.14621,1.40725,1.94901,0.0004868,0.0004868,0.0004868
10,4163.89,1.4157,2.62333,1.43403,1.66512,0.69863,0.53648,0.61684,0.29496,0.68267,0.52947,0.59759,0.26998,1.76634,2.04199,1.43632,1.99106,0.00048515,0.00048515,0.00048515
11,4357.43,1.39661,2.57451,1.39278,1.63458,0.73558,0.59724,0.67221,0.35956,0.72112,0.58899,0.64854,0.32233,1.61425,2.10731,1.30816,1.84342,0.0004835,0.0004835,0.0004835
12,4551.43,1.38508,2.55671,1.35325,1.63677,0.69623,0.59282,0.6388,0.34151,0.69178,0.56876,0.62184,0.31443,1.6481,2.09942,1.32655,1.86639,0.00048185,0.00048185,0.00048185
13,4745.24,1.38199,2.56287,1.36768,1.62997,0.71652,0.6029,0.67572,0.32931,0.70576,0.58606,0.65641,0.31544,1.69693,1.96021,1.29519,1.91656,0.0004802,0.0004802,0.0004802
14,4939.13,1.3794,2.5273,1.34204,1.63055,0.70164,0.58297,0.65868,0.32499,0.69095,0.57408,0.64292,0.30653,1.65935,2.03289,1.34798,1.91437,0.00047855,0.00047855,0.00047855
15,5133,1.35761,2.4898,1.29756,1.61783,0.70035,0.5884,0.65963,0.33132,0.68082,0.57764,0.63927,0.31373,1.67051,2.03087,1.27061,1.91876,0.0004769,0.0004769,0.0004769
16,5327,1.33932,2.482,1.29247,1.602,0.71414,0.61928,0.69029,0.35843,0.71044,0.60592,0.67475,0.33975,1.64738,2.00469,1.21513,1.89341,0.00047525,0.00047525,0.00047525
17,5521.14,1.34504,2.48124,1.28855,1.60609,0.75503,0.62567,0.71064,0.38235,0.73954,0.60384,0.67896,0.33577,1.56191,2.28123,1.19433,1.78117,0.0004736,0.0004736,0.0004736
18,5715.27,1.33456,2.46506,1.26838,1.59094,0.72879,0.6015,0.6839,0.36345,0.71506,0.60384,0.68049,0.3371,1.59988,1.97489,1.22149,1.8567,0.00047195,0.00047195,0.00047195
19,5909.11,1.33317,2.44665,1.28046,1.59625,0.73654,0.62254,0.70001,0.37867,0.73271,0.61413,0.68821,0.35881,1.57009,1.9841,1.17682,1.84906,0.0004703,0.0004703,0.0004703
20,6102.89,1.31791,2.44833,1.25995,1.59937,0.72966,0.61553,0.70188,0.36777,0.7344,0.59542,0.68245,0.35457,1.57498,1.9224,1.20818,1.82834,0.00046865,0.00046865,0.00046865
21,6297.12,1.31119,2.4166,1.23974,1.5774,0.76382,0.64137,0.72847,0.38375,0.74302,0.62909,0.70862,0.366,1.58976,1.99455,1.12913,1.83842,0.000467,0.000467,0.000467
22,6491,1.30523,2.39812,1.21351,1.57655,0.7398,0.65562,0.72459,0.39638,0.73558,0.65188,0.71584,0.37318,1.54514,1.87936,1.11017,1.78016,0.00046535,0.00046535,0.00046535
23,6703.14,1.30216,2.39324,1.22482,1.57647,0.76582,0.63323,0.72527,0.38986,0.75199,0.62956,0.71702,0.36369,1.55828,1.9098,1.1213,1.80752,0.0004637,0.0004637,0.0004637
24,6896.98,1.28956,2.39156,1.2013,1.56739,0.73138,0.6673,0.73716,0.39244,0.724,0.66511,0.72315,0.37125,1.5688,2.07318,1.10069,1.83781,0.00046205,0.00046205,0.00046205
25,7090.95,1.2932,2.37071,1.18832,1.56833,0.75871,0.66745,0.7341,0.4058,0.74872,0.65716,0.72189,0.37891,1.51286,1.81652,1.06487,1.79606,0.0004604,0.0004604,0.0004604
26,7285.07,1.29493,2.39235,1.17952,1.56656,0.74637,0.66698,0.73759,0.39645,0.73894,0.65856,0.72902,0.37443,1.55419,1.78645,1.0965,1.80434,0.00045875,0.00045875,0.00045875
27,7478.81,1.27977,2.36243,1.16534,1.55629,0.76974,0.65716,0.74393,0.38964,0.75835,0.65341,0.72967,0.37612,1.59984,1.85644,1.10716,1.83595,0.0004571,0.0004571,0.0004571
28,7672.69,1.27523,2.32914,1.1484,1.55017,0.75814,0.66562,0.73082,0.40551,0.74482,0.65392,0.7167,0.37912,1.49563,1.88014,1.07387,1.75639,0.00045545,0.00045545,0.00045545
29,7866.52,1.27955,2.32155,1.16937,1.55933,0.7743,0.68288,0.75016,0.42245,0.75779,0.67353,0.7322,0.39459,1.47886,1.78183,1.03944,1.74056,0.0004538,0.0004538,0.0004538
30,8060.32,1.26148,2.30048,1.15205,1.54028,0.76207,0.68382,0.74903,0.42087,0.75562,0.67072,0.73626,0.39137,1.4783,1.74431,1.04994,1.75293,0.00045215,0.00045215,0.00045215
31,8253.98,1.25487,2.30783,1.14078,1.53848,0.7576,0.68756,0.75946,0.4345,0.75564,0.67544,0.74977,0.40055,1.45376,1.69422,1.02006,1.7268,0.0004505,0.0004505,0.0004505
32,8462.29,1.26406,2.3177,1.13599,1.55111,0.78346,0.70533,0.7682,0.4399,0.76084,0.68803,0.74742,0.39971,1.44241,1.7711,0.99324,1.72955,0.00044885,0.00044885,0.00044885
33,8656.53,1.25871,2.29254,1.12615,1.55412,0.75746,0.67048,0.74792,0.41064,0.75137,0.66417,0.73711,0.38754,1.50934,1.74472,1.06614,1.75055,0.0004472,0.0004472,0.0004472
34,8850.5,1.24232,2.2831,1.11623,1.53636,0.76478,0.70767,0.77178,0.43505,0.75949,0.70009,0.7634,0.40887,1.4527,1.77435,1.01271,1.72564,0.00044555,0.00044555,0.00044555
35,9044.3,1.25387,2.28202,1.1084,1.54268,0.7834,0.6899,0.77059,0.44163,0.79673,0.66698,0.75794,0.40731,1.43891,1.74629,0.99349,1.72556,0.0004439,0.0004439,0.0004439
36,9238.61,1.24624,2.27865,1.10497,1.5331,0.77772,0.68732,0.75804,0.4224,0.76423,0.6754,0.73992,0.38909,1.51334,1.6588,1.00028,1.79575,0.00044225,0.00044225,0.00044225
37,9432.65,1.24389,2.28154,1.11338,1.53275,0.80677,0.7189,0.78813,0.43011,0.78848,0.70019,0.76529,0.39745,1.514,1.64026,0.96352,1.77917,0.0004406,0.0004406,0.0004406
38,9626.64,1.23068,2.26487,1.08764,1.52792,0.79955,0.68662,0.76966,0.43638,0.78756,0.66791,0.74451,0.39593,1.48564,1.75291,0.96345,1.76471,0.00043895,0.00043895,0.00043895
39,9820.64,1.22605,2.24214,1.08022,1.52104,0.80832,0.69625,0.7872,0.45371,0.79163,0.6788,0.76434,0.40942,1.44348,1.70951,0.95408,1.72792,0.0004373,0.0004373,0.0004373
40,10015,1.23459,2.23719,1.07415,1.52287,0.7697,0.71936,0.78087,0.44034,0.76453,0.68642,0.75658,0.40624,1.46291,1.70179,0.97926,1.73694,0.00043565,0.00043565,0.00043565
41,10208.9,1.23664,2.25311,1.08811,1.52601,0.81616,0.68732,0.78155,0.45539,0.79697,0.67867,0.76404,0.41909,1.42994,1.68635,0.94072,1.69862,0.000434,0.000434,0.000434
42,10402.8,1.22598,2.23135,1.08276,1.52672,0.79961,0.70919,0.79141,0.45829,0.76319,0.70861,0.77648,0.4275,1.42902,1.70367,0.93265,1.70895,0.00043235,0.00043235,0.00043235
43,10597.1,1.21352,2.22619,1.06885,1.49304,0.80355,0.70977,0.79497,0.45793,0.78072,0.70607,0.77818,0.42208,1.44066,1.70141,0.92606,1.68357,0.0004307,0.0004307,0.0004307
44,10791.1,1.22559,2.22466,1.06227,1.50311,0.79859,0.71772,0.80306,0.45536,0.77505,0.71094,0.78476,0.41713,1.43882,1.54793,0.93739,1.70032,0.00042905,0.00042905,0.00042905
45,10985.4,1.20747,2.19945,1.04219,1.49455,0.80614,0.71094,0.797,0.46465,0.79385,0.70112,0.78008,0.42071,1.41729,1.6076,0.93316,1.67493,0.0004274,0.0004274,0.0004274
46,11179,1.21271,2.19108,1.04851,1.50709,0.81008,0.72638,0.81033,0.46255,0.8076,0.72053,0.80569,0.43153,1.42508,1.61584,0.91806,1.68422,0.00042575,0.00042575,0.00042575
