epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,866.946,0.79653,0.40983,0.66417,0.84875,0.81622,0.68757,0.79432,0.43434,0.80913,0.6816,0.78203,0.41049,0.15905,0.08463,0.10704,0.1693,0.00333288,0.00333288,0.00333288
2,1682.86,0.82547,0.41534,0.70749,0.86649,0.77912,0.66249,0.76483,0.39656,0.77069,0.65532,0.75197,0.37783,0.16543,0.09345,0.11273,0.17655,0.00666459,0.00666459,0.00666459
3,2489.45,0.89537,0.43083,0.84585,0.91649,0.69074,0.50299,0.59204,0.29274,0.70679,0.49283,0.58777,0.28593,0.17775,0.09628,0.16817,0.19086,0.00998978,0.00998978,0.00998978
4,3294.27,0.97913,0.48343,0.99901,0.97967,0.74524,0.51376,0.62753,0.31197,0.74052,0.50836,0.62205,0.31243,0.1764,0.09536,0.16186,0.18691,0.00997803,0.00997803,0.00997803
5,4099.14,1.00235,0.5126,1.04388,1.01064,0.68635,0.52688,0.61487,0.30522,0.68063,0.5221,0.60812,0.29556,0.17635,0.09557,0.15816,0.18857,0.00996097,0.00996097,0.00996097
6,4904.04,1.0006,0.50243,1.03813,1.00705,0.72696,0.52748,0.62373,0.31469,0.72778,0.52808,0.62153,0.31205,0.17458,0.09998,0.15363,0.18465,0.00993906,0.00993906,0.00993906
7,5710.03,0.99537,0.49106,1.05327,1.00581,0.71312,0.53106,0.62345,0.31111,0.7075,0.52688,0.61627,0.30356,0.17574,0.10113,0.16006,0.18535,0.00991232,0.00991232,0.00991232
8,6515.02,0.99258,0.48947,1.03392,1.00015,0.68789,0.52867,0.61816,0.31158,0.67864,0.52628,0.61329,0.29656,0.17459,0.10289,0.154,0.18217,0.00988079,0.00988079,0.00988079
9,7319.69,0.98839,0.47999,1.02886,0.99562,0.7308,0.5227,0.6283,0.3215,0.73094,0.52151,0.62617,0.3133,0.17172,0.09504,0.15689,0.18227,0.00984449,0.00984449,0.00984449
10,8124.98,0.97332,0.48594,1.02694,0.99503,0.71992,0.54182,0.62476,0.32227,0.71278,0.53644,0.61969,0.31913,0.17385,0.09227,0.16258,0.18452,0.00980345,0.00980345,0.00980345
