epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,955.79,1.81024,1.95103,2.14869,1.93182,0.19838,0.09232,0.07077,0.02609,0.19948,0.09022,0.0673,0.02244,2.62297,0.97825,3.61138,3.00515,0.0673822,0.00066567,0.00066567
2,1740.28,1.78275,1.86571,2.12064,1.91494,0.4742,0.37432,0.36585,0.14906,0.46428,0.36551,0.35333,0.14016,1.92286,0.94337,2.49467,2.3311,0.0347155,0.0013323,0.0013323
3,2276.96,1.71573,1.83551,1.97818,1.86912,0.45524,0.38691,0.36498,0.15212,0.44364,0.38397,0.35776,0.14313,1.92886,1.00845,2.55989,2.30475,0.00204861,0.00199879,0.00199879
4,2669.36,1.66702,1.77684,1.91091,1.84747,0.5999,0.48384,0.52881,0.24217,0.60041,0.48172,0.52181,0.23162,1.78236,1.02552,2.01848,2.17344,0.00199951,0.00199951,0.00199951
5,3154.63,1.59767,1.77242,1.81455,1.78876,0.47136,0.35837,0.36451,0.16592,0.46275,0.34916,0.35272,0.15357,1.87101,1.53483,2.52092,2.26329,0.00199913,0.00199913,0.00199913
6,3581.05,1.558,1.70923,1.72068,1.7614,0.61663,0.51972,0.55368,0.24368,0.60551,0.50776,0.535,0.22894,1.86432,0.88184,1.92263,2.27956,0.00199864,0.00199864,0.00199864
7,3975.06,1.53298,1.63746,1.66657,1.73097,0.64975,0.52371,0.57913,0.28317,0.6465,0.51616,0.56854,0.26626,1.66055,1.17219,2.55049,2.04837,0.00199805,0.00199805,0.00199805
8,4403.82,1.50625,1.67248,1.6294,1.72312,0.6011,0.51154,0.55042,0.27145,0.59449,0.50507,0.53549,0.24735,1.66054,1.11413,1.84371,2.07545,0.00199734,0.00199734,0.00199734
9,4758.67,1.48786,1.63981,1.58708,1.69794,0.68697,0.54217,0.62918,0.3254,0.68722,0.52665,0.61189,0.29536,1.58235,1.05138,1.51204,1.96892,0.00199653,0.00199653,0.00199653
10,5089.25,1.45809,1.6236,1.56959,1.68788,0.67591,0.58199,0.6583,0.36254,0.66661,0.56861,0.64419,0.33793,1.52535,0.79767,1.46367,1.95675,0.00199561,0.00199561,0.00199561
11,5466.13,1.45579,1.60834,1.54396,1.68195,0.71312,0.54511,0.60453,0.31791,0.69885,0.5342,0.58596,0.28724,1.60296,0.84045,1.66135,2.0122,0.00199458,0.00199458,0.00199458
12,5835.09,1.44383,1.59775,1.51832,1.67999,0.65298,0.58749,0.6438,0.34023,0.64673,0.57693,0.6269,0.31938,1.55207,1.1814,1.59823,1.93775,0.00199344,0.00199344,0.00199344
13,6289.64,1.43395,1.55714,1.49579,1.6543,0.70532,0.60008,0.67828,0.37682,0.67232,0.59295,0.64669,0.33957,1.49335,1.11402,1.36081,1.88825,0.00199219,0.00199219,0.00199219
14,6786.63,1.41646,1.51627,1.47427,1.65842,0.74466,0.64457,0.73854,0.40973,0.73972,0.63449,0.72427,0.38853,1.45731,0.82612,1.26239,1.86528,0.00199084,0.00199084,0.00199084
15,7159.41,1.42241,1.5595,1.45706,1.64953,0.72188,0.61897,0.69893,0.39632,0.72272,0.60596,0.68403,0.3755,1.52032,0.7905,1.35899,1.9159,0.00198938,0.00198938,0.00198938
16,7554.6,1.41027,1.53977,1.44051,1.64628,0.70602,0.64121,0.69093,0.37636,0.70106,0.62568,0.67421,0.34634,1.56241,0.83385,1.30449,1.96765,0.00198781,0.00198781,0.00198781
17,8075.35,1.40145,1.53445,1.4341,1.63875,0.61745,0.45741,0.50505,0.26168,0.61225,0.43931,0.47626,0.2271,1.6849,1.34311,1.89038,2.10725,0.00198614,0.00198614,0.00198614
18,8487.12,1.39187,1.53572,1.41334,1.6294,0.73287,0.62744,0.70089,0.38917,0.73561,0.60713,0.68376,0.36285,1.54638,1.00657,1.33653,1.94541,0.00198435,0.00198435,0.00198435
19,8827.98,1.36485,1.50904,1.37728,1.61012,0.78134,0.60848,0.72143,0.40571,0.77295,0.59673,0.70314,0.37768,1.48557,0.79577,1.24225,1.89433,0.00198246,0.00198246,0.00198246
20,9140.08,1.37361,1.47674,1.36326,1.61379,0.76394,0.624,0.72209,0.40608,0.7691,0.59924,0.69722,0.37056,1.45639,0.76473,1.17942,1.85633,0.00198047,0.00198047,0.00198047
21,9548.88,1.35718,1.51428,1.36544,1.60932,0.69337,0.58666,0.66416,0.35257,0.68346,0.57826,0.64712,0.32773,1.61408,0.87023,1.42357,1.99948,0.00197837,0.00197837,0.00197837
22,10033,1.36647,1.52962,1.3657,1.61104,0.75954,0.65083,0.751,0.44503,0.75648,0.63533,0.73354,0.4147,1.41047,0.78478,1.16927,1.81518,0.00197616,0.00197616,0.00197616
23,10371.7,1.36714,1.48176,1.34684,1.61023,0.76092,0.62442,0.72122,0.41056,0.74949,0.61981,0.70705,0.38729,1.48422,0.88711,1.26184,1.87815,0.00197384,0.00197384,0.00197384
24,10775.1,1.35334,1.49572,1.33089,1.6008,0.76177,0.6642,0.75485,0.45886,0.75948,0.64397,0.7369,0.42317,1.35576,0.75798,1.11502,1.77651,0.00197142,0.00197142,0.00197142
25,11033.8,1.34004,1.46067,1.32155,1.60777,0.76961,0.66726,0.75809,0.44698,0.76292,0.65548,0.74326,0.42353,1.44546,0.69189,1.12924,1.85621,0.0019689,0.0019689,0.0019689
26,11481.5,1.32084,1.45218,1.2955,1.57682,0.79473,0.65799,0.7713,0.45348,0.77616,0.63827,0.73822,0.40917,1.39624,0.83281,1.07416,1.79947,0.00196627,0.00196627,0.00196627
27,11791.1,1.33715,1.48235,1.30653,1.58935,0.74544,0.63039,0.72655,0.43309,0.73982,0.61929,0.71316,0.40066,1.39227,0.81916,1.1896,1.8152,0.00196353,0.00196353,0.00196353
28,12069,1.32923,1.45309,1.29914,1.5959,0.76095,0.67324,0.75994,0.44545,0.75077,0.65464,0.73923,0.41073,1.3926,0.75298,1.12268,1.81484,0.00196069,0.00196069,0.00196069
29,12350.9,1.31704,1.42141,1.29439,1.58108,0.79915,0.66955,0.77969,0.47802,0.79186,0.65295,0.76335,0.4473,1.37205,0.70525,1.02281,1.75795,0.00195775,0.00195775,0.00195775
30,12666,1.32428,1.43258,1.27376,1.58044,0.78124,0.671,0.77752,0.44959,0.78083,0.65757,0.76027,0.419,1.41986,0.74549,1.08944,1.83799,0.0019547,0.0019547,0.0019547
31,13036.2,1.3061,1.40937,1.26793,1.55953,0.79282,0.66051,0.76807,0.45995,0.80145,0.64582,0.75306,0.4343,1.35567,0.73285,1.03433,1.76712,0.00195155,0.00195155,0.00195155
32,13364.4,1.30233,1.42446,1.25807,1.5664,0.79925,0.69031,0.79656,0.49103,0.78951,0.67982,0.77942,0.47042,1.3288,0.68686,0.95267,1.7294,0.00194829,0.00194829,0.00194829
33,13621.4,1.31769,1.44705,1.2622,1.57101,0.78791,0.69828,0.79028,0.47513,0.77775,0.68579,0.77408,0.44012,1.39259,0.69837,0.99317,1.78933,0.00194493,0.00194493,0.00194493
34,14070.2,1.29809,1.40996,1.25499,1.56186,0.7927,0.6924,0.79453,0.4803,0.78462,0.66347,0.75807,0.43365,1.37479,0.93888,0.98928,1.76193,0.00194147,0.00194147,0.00194147
35,14456.4,1.29607,1.4239,1.22877,1.56282,0.80132,0.68717,0.78422,0.48017,0.79615,0.6794,0.77013,0.45535,1.33772,0.67953,0.98269,1.75704,0.00193791,0.00193791,0.00193791
36,14741.4,1.29339,1.39613,1.22171,1.55283,0.79673,0.71129,0.80689,0.49557,0.78661,0.69366,0.78697,0.46595,1.31885,0.68624,0.94371,1.71663,0.00193424,0.00193424,0.00193424
37,15140.6,1.28277,1.40716,1.20489,1.53604,0.78523,0.70415,0.79638,0.48704,0.7822,0.68653,0.78441,0.45983,1.32981,0.68743,0.94822,1.73924,0.00193048,0.00193048,0.00193048
38,15904.3,1.27992,1.40237,1.21147,1.5469,0.80442,0.70332,0.80421,0.48574,0.80028,0.68527,0.78213,0.44977,1.31735,0.7522,0.95088,1.70779,0.00192661,0.00192661,0.00192661
39,16320,1.27843,1.38352,1.20641,1.55285,0.77447,0.70033,0.79115,0.48955,0.77639,0.68401,0.77443,0.46461,1.32376,0.68619,0.96761,1.71815,0.00192264,0.00192264,0.00192264
40,16764.9,1.27494,1.37026,1.20045,1.54519,0.83422,0.6794,0.81026,0.5005,0.83372,0.67478,0.79921,0.47554,1.31164,0.67505,0.91162,1.71421,0.00191858,0.00191858,0.00191858
41,17234.7,1.2776,1.39182,1.21063,1.55002,0.7965,0.7008,0.80208,0.48623,0.79412,0.68306,0.78676,0.4598,1.31185,0.72048,1.01681,1.73002,0.00191441,0.00191441,0.00191441
42,17627.6,1.26811,1.41825,1.18683,1.53767,0.81084,0.70499,0.80932,0.50477,0.81552,0.6845,0.79436,0.47379,1.29675,0.69684,0.90146,1.70609,0.00191014,0.00191014,0.00191014
43,18099.7,1.26368,1.37696,1.17999,1.54278,0.78733,0.7224,0.8072,0.4967,0.79703,0.71087,0.79779,0.46906,1.30002,0.68551,0.91271,1.71227,0.00190578,0.00190578,0.00190578
44,18387.5,1.24794,1.36375,1.15708,1.51376,0.81999,0.71968,0.81947,0.51048,0.81282,0.70523,0.80166,0.47939,1.30364,0.6897,0.87647,1.70724,0.00190132,0.00190132,0.00190132
45,18956.8,1.2627,1.35406,1.16863,1.52908,0.81291,0.71842,0.81845,0.50516,0.80223,0.69621,0.7925,0.46218,1.31518,0.72647,0.91058,1.71274,0.00189675,0.00189675,0.00189675
