epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.714,2.21864,3.24297,2.77025,2.23316,0.17469,0.19765,0.09402,0.0278,0.16786,0.20269,0.09444,0.02772,2.5976,1.93207,6.76365,3.12351,0.0700896,0.00332338,0.00332338
2,228.133,2.12381,3.05994,2.59027,2.15233,0.03506,0.11414,0.01342,0.00333,0.03506,0.11414,0.01371,0.00336,2.73634,1.97242,4.66285,3.38571,0.0400888,0.00665599,0.00665599
3,329.117,2.05577,3.0028,2.4281,2.07848,0.37055,0.2873,0.25699,0.08734,0.37124,0.2778,0.24766,0.08537,2.21413,1.72093,4.43176,2.527,0.0100852,0.00998571,0.00998571
4,431.716,1.99241,2.94144,2.33474,2.0372,0.38335,0.36509,0.31039,0.10869,0.3854,0.35963,0.30865,0.10714,2.187,1.1373,2.38134,2.47978,0.00999023,0.00999023,0.00999023
5,533.712,1.952,2.91691,2.26529,1.99131,0.40661,0.30466,0.28029,0.11069,0.40632,0.29459,0.27494,0.09948,2.18343,1.75101,3.30289,2.50708,0.00998264,0.00998264,0.00998264
6,632.043,1.92046,2.87018,2.1724,1.95177,0.57988,0.43684,0.41609,0.16767,0.56047,0.43559,0.40451,0.16007,2.08178,1.5416,2.07927,2.44971,0.00997288,0.00997288,0.00997288
7,977.995,1.89152,2.84015,2.11285,1.91931,0.5736,0.42803,0.47456,0.17394,0.56905,0.4188,0.4681,0.17649,2.09062,1.6995,2.06095,2.33716,0.00996097,0.00996097,0.00996097
8,1332.82,1.86142,2.83416,2.0836,1.90125,0.6051,0.4188,0.48179,0.17723,0.5987,0.41334,0.4661,0.17449,2.20303,1.08906,2.00314,2.48865,0.0099469,0.0099469,0.0099469
9,1437.31,1.84648,2.7804,2.03871,1.88664,0.47455,0.44901,0.40243,0.13705,0.48243,0.43559,0.40212,0.13683,2.20817,1.17908,2.35073,2.50199,0.00993068,0.00993068,0.00993068
10,1540.78,1.8357,2.78117,2.00123,1.87586,0.4752,0.34033,0.3642,0.12934,0.48204,0.33026,0.3605,0.13069,2.20021,1.60607,2.42633,2.54082,0.00991232,0.00991232,0.00991232
11,1644.61,1.82091,2.76396,1.99476,1.87303,0.66707,0.54217,0.60247,0.22121,0.69035,0.54355,0.60437,0.23593,2.09848,1.32473,1.83375,2.26223,0.00989183,0.00989183,0.00989183
12,1748.71,1.79136,2.71953,1.92542,1.83324,0.63192,0.49266,0.54832,0.23929,0.63149,0.48804,0.54313,0.23355,1.90875,1.66553,1.81176,2.14034,0.00986922,0.00986922,0.00986922
13,1851.55,1.7979,2.75567,1.94517,1.85259,0.71175,0.53294,0.6217,0.28886,0.70689,0.52931,0.61267,0.28512,1.85091,1.51446,1.57654,2.08563,0.00984449,0.00984449,0.00984449
14,1955.63,1.79621,2.72489,1.93576,1.84838,0.49149,0.36991,0.38156,0.14548,0.48413,0.34892,0.36466,0.13952,2.20792,1.8365,2.39665,2.65671,0.00981765,0.00981765,0.00981765
15,2060.18,1.76469,2.69214,1.87941,1.81395,0.58806,0.47167,0.50791,0.19529,0.58653,0.46832,0.4981,0.19072,2.25384,1.39645,1.96144,2.52226,0.00978873,0.00978873,0.00978873
16,2178.97,1.77584,2.70108,1.89044,1.81945,0.72602,0.59938,0.68572,0.34279,0.73582,0.5844,0.67717,0.33807,1.73718,1.15902,1.41572,1.98298,0.00975773,0.00975773,0.00975773
17,2295.71,1.73899,2.66943,1.82586,1.79463,0.76692,0.56735,0.67247,0.31494,0.76284,0.56232,0.66243,0.32057,1.86699,1.07351,1.40001,2.10062,0.00972466,0.00972466,0.00972466
18,2400.61,1.7458,2.64746,1.83318,1.79169,0.65943,0.45027,0.51637,0.23779,0.64451,0.44398,0.50714,0.22992,1.94822,1.2881,1.9586,2.17903,0.00968955,0.00968955,0.00968955
19,2517.25,1.74736,2.6412,1.82568,1.78998,0.66894,0.56303,0.63825,0.32112,0.6671,0.5577,0.62935,0.31,1.66979,0.85372,1.49392,1.95032,0.00965239,0.00965239,0.00965239
20,2632.03,1.72543,2.60172,1.78785,1.77452,0.67778,0.58917,0.64686,0.32663,0.68599,0.57662,0.63465,0.31522,1.69588,1.00654,1.45461,1.91781,0.00961322,0.00961322,0.00961322
21,2743.93,1.72848,2.603,1.78859,1.77704,0.69449,0.56819,0.64244,0.31221,0.69324,0.5535,0.63027,0.2947,1.67583,0.86985,1.57405,1.97327,0.00957205,0.00957205,0.00957205
22,2854.32,1.71942,2.61845,1.76141,1.77202,0.63281,0.5489,0.59346,0.27927,0.64183,0.53336,0.58338,0.26174,1.85664,0.78823,1.57964,2.15522,0.00952889,0.00952889,0.00952889
